iter	Passed	Remaining
0	1	5824
1	3	4757
2	4	4838
3	6	4577
4	8	4805
5	9	4641
6	10	4667
7	12	4604
8	13	4646
9	15	4578
10	16	4583
11	18	4557
12	19	4548
13	21	4497
14	22	4547
15	23	4471
16	25	4471
17	26	4435
18	28	4432
19	29	4406
20	30	4387
21	32	4351
22	33	4358
23	34	4328
24	36	4287
25	37	4319
26	39	4318
27	40	4314
28	42	4309
29	43	4321
30	45	4358
31	47	4369
32	48	4401
33	50	4404
34	51	4397
35	53	4391
36	54	4391
37	56	4423
38	58	4424
39	59	4411
40	61	4407
41	62	4394
42	64	4404
43	65	4408
44	67	4399
45	68	4399
46	69	4384
47	71	4379
48	72	4365
49	74	4378
50	75	4367
51	77	4375
52	78	4363
53	80	4364
54	81	4354
55	82	4359
56	84	4359
57	85	4357
58	87	4356
59	89	4373
60	91	4386
61	92	4376
62	94	4408
63	96	4424
64	98	4426
65	99	4427
66	101	4425
67	102	4416
68	103	4402
69	104	4394
70	106	4396
71	107	4386
72	109	4384
73	110	4375
74	112	4374
75	113	4367
76	115	4380
77	116	4369
78	118	4367
79	119	4359
80	120	4356
81	122	4351
82	123	4351
83	125	4342
84	126	4344
85	127	4334
86	129	4330
87	130	4324
88	132	4324
89	133	4320
90	134	4308
91	136	4303
92	137	4294
93	138	4291
94	140	4281
95	142	4297
96	143	4291
97	144	4290
98	146	4279
99	147	4278
100	148	4267
101	149	4257
102	151	4255
103	152	4250
104	153	4241
105	155	4235
106	156	4230
107	158	4231
108	159	4225
109	161	4234
110	162	4231
111	164	4234
112	165	4232
113	167	4231
114	168	4223
115	169	4223
116	171	4221
117	172	4214
118	174	4212
119	175	4206
120	176	4203
121	178	4202
122	179	4196
123	180	4192
124	181	4184
125	183	4184
126	184	4177
127	186	4174
128	187	4168
129	188	4166
130	189	4159
131	191	4156
132	192	4150
133	193	4146
134	195	4143
135	196	4140
136	197	4133
137	199	4128
138	200	4121
139	201	4117
140	202	4114
141	204	4114
142	205	4109
143	207	4107
144	208	4101
145	209	4093
146	210	4087
147	212	4085
148	213	4078
149	214	4077
150	215	4071
151	217	4069
152	218	4065
153	219	4065
154	221	4061
155	222	4062
156	224	4058
157	225	4056
158	226	4053
159	228	4048
160	229	4045
161	230	4039
162	232	4037
163	233	4033
164	234	4033
165	235	4028
166	237	4026
167	238	4021
168	239	4015
169	240	4009
170	242	4008
171	243	4006
172	244	4002
173	246	3997
174	247	3995
175	248	3991
176	249	3985
177	251	3980
178	252	3981
179	253	3977
180	255	3977
181	256	3972
182	257	3970
183	259	3967
184	260	3962
185	261	3959
186	263	3959
187	264	3955
188	266	3956
189	267	3953
190	268	3952
191	270	3949
192	271	3947
193	272	3947
194	274	3948
195	275	3946
196	277	3943
197	278	3940
198	279	3940
199	281	3938
200	282	3936
201	283	3931
202	285	3936
203	287	3933
204	288	3933
205	289	3931
206	291	3930
207	292	3929
208	294	3927
209	295	3925
210	297	3930
211	298	3929
212	300	3925
213	301	3924
214	302	3919
215	303	3917
216	305	3914
217	306	3909
218	307	3904
219	308	3902
220	310	3901
221	311	3899
222	312	3895
223	314	3893
224	315	3891
225	316	3889
226	318	3885
227	319	3884
228	320	3881
229	321	3876
230	323	3873
231	324	3871
232	325	3867
233	326	3865
234	328	3861
235	329	3858
236	330	3858
237	332	3855
238	333	3854
239	334	3852
240	336	3851
241	337	3850
242	339	3847
243	340	3847
244	342	3852
245	344	3851
246	345	3847
247	346	3845
248	347	3842
249	349	3842
250	351	3847
251	352	3846
252	353	3843
253	355	3842
254	356	3839
255	358	3837
256	359	3834
257	360	3832
258	361	3829
259	363	3827
260	364	3825
261	365	3821
262	366	3817
263	368	3816
264	369	3813
265	370	3809
266	371	3806
267	373	3803
268	374	3800
269	375	3797
270	376	3793
271	377	3789
272	379	3789
273	380	3785
274	382	3785
275	383	3783
276	384	3780
277	385	3777
278	387	3776
279	388	3774
280	389	3773
281	391	3771
282	392	3769
283	393	3767
284	395	3764
285	396	3763
286	397	3760
287	399	3759
288	400	3756
289	401	3755
290	403	3753
291	404	3751
292	405	3748
293	407	3746
294	408	3744
295	409	3743
296	411	3740
297	412	3739
298	413	3737
299	414	3734
300	416	3732
301	418	3735
302	419	3735
303	420	3732
304	422	3731
305	423	3728
306	424	3726
307	426	3724
308	427	3723
309	429	3722
310	430	3720
311	431	3718
312	432	3716
313	434	3715
314	435	3712
315	436	3711
316	438	3709
317	439	3705
318	440	3703
319	442	3702
320	443	3702
321	445	3701
322	446	3699
323	447	3698
324	449	3695
325	450	3695
326	451	3693
327	453	3692
328	454	3691
329	455	3689
330	457	3687
331	458	3685
332	459	3682
333	461	3681
334	462	3679
335	463	3676
336	465	3675
337	466	3674
338	467	3671
339	469	3669
340	470	3667
341	471	3666
342	473	3664
343	474	3662
344	475	3660
345	476	3658
346	478	3656
347	479	3655
348	481	3653
349	482	3652
350	483	3650
351	484	3647
352	486	3645
353	487	3643
354	488	3640
355	489	3637
356	490	3634
357	492	3633
358	493	3632
359	495	3634
360	497	3634
361	498	3632
362	499	3631
363	501	3629
364	502	3628
365	503	3625
366	505	3627
367	506	3625
368	508	3622
369	509	3619
370	510	3618
371	511	3615
372	513	3613
373	514	3611
374	515	3610
375	516	3607
376	518	3606
377	519	3605
378	521	3604
379	522	3602
380	523	3601
381	525	3599
382	526	3597
383	527	3595
384	528	3592
385	530	3591
386	531	3588
387	532	3587
388	534	3585
389	535	3582
390	536	3579
391	537	3578
392	539	3576
393	540	3573
394	541	3571
395	542	3570
396	544	3568
397	545	3567
398	546	3565
399	548	3563
400	549	3561
401	550	3560
402	552	3558
403	553	3557
404	554	3555
405	556	3554
406	557	3552
407	558	3550
408	560	3548
409	561	3546
410	562	3545
411	564	3544
412	565	3543
413	566	3540
414	568	3538
415	569	3536
416	570	3535
417	571	3532
418	573	3532
419	574	3530
420	576	3529
421	577	3527
422	578	3526
423	580	3524
424	581	3523
425	582	3522
426	584	3520
427	585	3518
428	586	3516
429	588	3515
430	589	3513
431	590	3512
432	592	3510
433	593	3507
434	594	3505
435	595	3504
436	597	3501
437	598	3498
438	599	3495
439	600	3494
440	601	3492
441	603	3492
442	604	3490
443	605	3487
444	607	3488
445	608	3485
446	610	3485
447	611	3483
448	612	3482
449	614	3479
450	615	3479
451	616	3477
452	618	3475
453	619	3475
454	621	3474
455	622	3472
456	623	3471
457	625	3469
458	626	3468
459	627	3466
460	629	3464
461	630	3463
462	631	3460
463	633	3463
464	635	3462
465	636	3461
466	637	3459
467	639	3458
468	640	3457
469	642	3456
470	643	3454
471	644	3453
472	645	3451
473	647	3450
474	648	3447
475	649	3446
476	651	3444
477	652	3442
478	653	3440
479	655	3439
480	656	3438
481	657	3435
482	658	3434
483	660	3432
484	661	3431
485	662	3429
486	664	3426
487	665	3424
488	666	3421
489	667	3420
490	669	3418
491	670	3418
492	671	3416
493	673	3414
494	674	3413
495	675	3412
496	677	3409
497	678	3408
498	679	3406
499	681	3405
500	682	3403
501	683	3403
502	685	3402
503	686	3400
504	688	3400
505	690	3400
506	691	3399
507	692	3398
508	693	3396
509	695	3396
510	697	3395
511	698	3394
512	700	3396
513	702	3395
514	703	3393
515	704	3392
516	706	3391
517	707	3389
518	708	3387
519	709	3386
520	711	3383
521	712	3382
522	713	3380
523	715	3379
524	717	3380
525	718	3379
526	719	3378
527	721	3377
528	722	3375
529	723	3373
530	725	3371
531	726	3369
532	727	3367
533	729	3367
534	731	3369
535	732	3367
536	733	3366
537	735	3364
538	736	3362
539	737	3361
540	739	3359
541	740	3359
542	741	3356
543	743	3355
544	744	3354
545	746	3354
546	747	3353
547	749	3351
548	750	3352
549	752	3350
550	753	3349
551	754	3347
552	756	3346
553	757	3344
554	758	3343
555	760	3341
556	761	3340
557	762	3338
558	764	3337
559	765	3337
560	767	3336
561	768	3334
562	770	3333
563	771	3331
564	772	3330
565	773	3328
566	775	3327
567	776	3325
568	778	3324
569	779	3322
570	780	3321
571	782	3319
572	783	3318
573	784	3316
574	785	3314
575	787	3313
576	789	3314
577	790	3313
578	792	3313
579	793	3312
580	795	3310
581	796	3308
582	797	3307
583	799	3305
584	800	3304
585	802	3303
586	803	3302
587	804	3300
588	806	3299
589	807	3297
590	808	3295
591	809	3292
592	810	3291
593	812	3289
594	813	3288
595	814	3285
596	815	3283
597	817	3282
598	818	3280
599	819	3279
600	821	3277
601	822	3276
602	823	3275
603	825	3273
604	826	3271
605	827	3269
606	829	3268
607	830	3266
608	831	3265
609	832	3263
610	834	3261
611	835	3260
612	836	3258
613	837	3256
614	839	3255
615	840	3253
616	842	3252
617	843	3249
618	844	3248
619	846	3248
620	847	3246
621	848	3244
622	850	3243
623	851	3241
624	852	3239
625	853	3238
626	855	3237
627	856	3236
628	858	3235
629	859	3233
630	860	3232
631	862	3230
632	863	3229
633	864	3227
634	866	3226
635	867	3224
636	868	3223
637	870	3221
638	872	3222
639	873	3221
640	874	3219
641	876	3218
642	877	3216
643	878	3215
644	880	3213
645	881	3212
646	882	3210
647	884	3208
648	885	3207
649	886	3205
650	887	3204
651	889	3202
652	890	3200
653	891	3199
654	893	3198
655	894	3196
656	896	3195
657	897	3193
658	898	3192
659	899	3190
660	901	3188
661	902	3186
662	903	3185
663	905	3183
664	906	3182
665	907	3180
666	909	3179
667	910	3178
668	911	3176
669	913	3175
670	914	3172
671	915	3171
672	916	3170
673	918	3168
674	919	3167
675	920	3165
676	922	3164
677	923	3162
678	924	3160
679	926	3159
680	927	3157
681	928	3155
682	929	3153
683	930	3152
684	932	3150
685	933	3149
686	934	3147
687	936	3146
688	937	3144
689	938	3143
690	940	3141
691	941	3140
692	942	3139
693	944	3138
694	945	3137
695	947	3135
696	948	3134
697	949	3132
698	951	3131
699	953	3132
700	955	3132
701	956	3130
702	957	3129
703	959	3127
704	960	3127
705	961	3125
706	963	3125
707	964	3123
708	966	3122
709	967	3121
710	969	3121
711	971	3121
712	972	3120
713	974	3118
714	975	3117
715	977	3117
716	978	3115
717	979	3113
718	981	3112
719	983	3113
720	984	3112
721	985	3110
722	987	3109
723	988	3108
724	989	3106
725	991	3105
726	992	3103
727	994	3102
728	995	3101
729	996	3100
730	998	3098
731	999	3096
732	1000	3095
733	1002	3093
734	1003	3092
735	1005	3091
736	1006	3089
737	1007	3088
738	1008	3086
739	1010	3085
740	1011	3083
741	1012	3082
742	1014	3080
743	1016	3081
744	1017	3081
745	1019	3079
746	1020	3077
747	1021	3075
748	1023	3074
749	1024	3072
750	1025	3071
751	1026	3069
752	1028	3068
753	1029	3067
754	1031	3065
755	1032	3064
756	1033	3062
757	1034	3061
758	1036	3059
759	1037	3057
760	1038	3055
761	1039	3054
762	1041	3054
763	1043	3053
764	1044	3051
765	1045	3049
766	1047	3048
767	1048	3046
768	1049	3045
769	1050	3043
770	1052	3042
771	1053	3041
772	1055	3039
773	1056	3037
774	1057	3036
775	1058	3034
776	1060	3033
777	1061	3032
778	1063	3031
779	1064	3029
780	1065	3027
781	1066	3026
782	1068	3025
783	1069	3023
784	1071	3022
785	1072	3021
786	1074	3020
787	1075	3018
788	1076	3016
789	1077	3015
790	1079	3013
791	1080	3012
792	1081	3011
793	1083	3009
794	1084	3007
795	1085	3006
796	1087	3005
797	1088	3004
798	1089	3002
799	1091	3000
800	1092	2999
801	1094	2998
802	1095	2996
803	1096	2995
804	1098	2993
805	1099	2992
806	1100	2991
807	1101	2989
808	1103	2988
809	1104	2986
810	1106	2985
811	1107	2983
812	1108	2981
813	1110	2981
814	1111	2980
815	1113	2979
816	1114	2977
817	1115	2976
818	1117	2974
819	1118	2973
820	1119	2971
821	1120	2970
822	1122	2968
823	1123	2966
824	1124	2965
825	1126	2964
826	1128	2964
827	1129	2963
828	1130	2961
829	1132	2960
830	1133	2958
831	1134	2957
832	1136	2955
833	1137	2954
834	1138	2952
835	1140	2951
836	1141	2950
837	1143	2948
838	1144	2947
839	1145	2945
840	1147	2944
841	1148	2942
842	1150	2942
843	1151	2941
844	1152	2940
845	1153	2938
846	1155	2936
847	1156	2934
848	1158	2933
849	1159	2932
850	1160	2931
851	1162	2930
852	1163	2929
853	1166	2930
854	1167	2930
855	1169	2928
856	1170	2927
857	1171	2925
858	1173	2924
859	1174	2923
860	1176	2922
861	1177	2920
862	1179	2919
863	1180	2918
864	1181	2916
865	1183	2915
866	1184	2913
867	1185	2912
868	1187	2911
869	1188	2910
870	1190	2909
871	1191	2908
872	1193	2907
873	1194	2906
874	1196	2905
875	1197	2903
876	1199	2903
877	1200	2901
878	1202	2902
879	1204	2900
880	1205	2899
881	1207	2898
882	1208	2897
883	1209	2895
884	1211	2894
885	1212	2893
886	1213	2891
887	1215	2890
888	1216	2889
889	1217	2887
890	1219	2886
891	1221	2885
892	1222	2884
893	1223	2882
894	1224	2880
895	1226	2879
896	1227	2877
897	1228	2876
898	1230	2874
899	1231	2873
900	1232	2872
901	1234	2870
902	1235	2869
903	1236	2867
904	1238	2866
905	1239	2864
906	1240	2862
907	1242	2861
908	1243	2860
909	1244	2858
910	1245	2857
911	1247	2855
912	1248	2854
913	1249	2852
914	1251	2850
915	1252	2849
916	1253	2848
917	1254	2846
918	1256	2845
919	1257	2843
920	1259	2842
921	1260	2841
922	1261	2839
923	1263	2837
924	1264	2836
925	1265	2835
926	1267	2833
927	1268	2832
928	1269	2830
929	1271	2829
930	1272	2827
931	1273	2825
932	1275	2824
933	1276	2822
934	1277	2821
935	1278	2820
936	1280	2818
937	1281	2816
938	1282	2815
939	1284	2814
940	1285	2813
941	1287	2811
942	1288	2810
943	1290	2809
944	1291	2807
945	1292	2806
946	1293	2804
947	1295	2803
948	1296	2801
949	1297	2800
950	1299	2799
951	1300	2798
952	1302	2797
953	1303	2795
954	1304	2794
955	1306	2793
956	1307	2791
957	1308	2790
958	1310	2788
959	1311	2787
960	1312	2785
961	1314	2784
962	1315	2782
963	1317	2781
964	1318	2780
965	1319	2778
966	1321	2777
967	1322	2776
968	1323	2774
969	1324	2772
970	1326	2770
971	1327	2769
972	1328	2767
973	1329	2766
974	1331	2765
975	1332	2763
976	1333	2761
977	1335	2760
978	1336	2759
979	1338	2758
980	1339	2756
981	1340	2755
982	1341	2753
983	1343	2752
984	1344	2750
985	1346	2749
986	1347	2747
987	1348	2746
988	1349	2744
989	1351	2743
990	1352	2741
991	1353	2740
992	1355	2739
993	1356	2737
994	1357	2735
995	1359	2734
996	1360	2732
997	1361	2731
998	1363	2730
999	1364	2729
1000	1365	2727
1001	1367	2726
1002	1368	2724
1003	1369	2722
1004	1371	2721
1005	1372	2720
1006	1373	2718
1007	1374	2717
1008	1376	2715
1009	1377	2714
1010	1378	2712
1011	1380	2711
1012	1381	2710
1013	1383	2709
1014	1384	2707
1015	1385	2706
1016	1387	2704
1017	1388	2703
1018	1389	2701
1019	1391	2700
1020	1392	2698
1021	1393	2697
1022	1395	2696
1023	1396	2694
1024	1397	2693
1025	1398	2691
1026	1400	2690
1027	1402	2689
1028	1404	2689
1029	1405	2687
1030	1406	2686
1031	1408	2685
1032	1409	2684
1033	1411	2682
1034	1412	2682
1035	1414	2680
1036	1415	2680
1037	1417	2678
1038	1418	2677
1039	1420	2677
1040	1422	2677
1041	1423	2675
1042	1425	2673
1043	1426	2672
1044	1428	2671
1045	1429	2670
1046	1431	2669
1047	1432	2668
1048	1434	2667
1049	1435	2666
1050	1436	2664
1051	1438	2662
1052	1439	2661
1053	1441	2660
1054	1442	2659
1055	1444	2658
1056	1445	2656
1057	1446	2655
1058	1448	2654
1059	1449	2653
1060	1451	2653
1061	1453	2652
1062	1454	2650
1063	1456	2649
1064	1457	2648
1065	1459	2647
1066	1460	2646
1067	1462	2645
1068	1463	2644
1069	1465	2643
1070	1466	2642
1071	1469	2642
1072	1470	2640
1073	1471	2639
1074	1473	2637
1075	1474	2637
1076	1476	2635
1077	1477	2634
1078	1479	2633
1079	1480	2632
1080	1482	2631
1081	1483	2629
1082	1484	2628
1083	1486	2626
1084	1487	2625
1085	1489	2624
1086	1490	2623
1087	1491	2621
1088	1493	2620
1089	1494	2619
1090	1495	2617
1091	1496	2615
1092	1498	2614
1093	1500	2614
1094	1501	2612
1095	1502	2610
1096	1504	2609
1097	1505	2608
1098	1507	2607
1099	1508	2605
1100	1510	2604
1101	1511	2603
1102	1513	2602
1103	1514	2600
1104	1515	2599
1105	1517	2598
1106	1518	2597
1107	1520	2596
1108	1521	2595
1109	1523	2594
1110	1524	2592
1111	1526	2591
1112	1528	2591
1113	1529	2589
1114	1531	2588
1115	1532	2586
1116	1533	2585
